,Name,Sale Price,Rating,Number of Reviews,Category,Sub-Category,Brand
0,Thanksgiving Party Decorations Fall Party Hanging Paper Lantern Give Thanks Banner Turkey Pumpkins Maple Leaf for Autumn Birthday Baby Showers Home Decor Indoor Outdoor,18.99,4.6,6.0,Home & Kitchen,Event & Party Supplies,zilue
1,U'Artlines 4Pcs Artificial Fall Garland Maple Leaf Autumn Hanging Foliage Garlands Vines Thanksgiving Decor for Home Wedding Party Fireplace Indoor Outdoor,16.79,4.5,36.0,Home & Kitchen,Seasonal Décor,U'Artlines
2,"Thanksgiving Decor Supplies Turkey Thanksgiving Decorations Hanging Thanksgiving Party Decorations for Office,Classroom,Home Decor",12.99,3.8,7.0,Toys & Games,Party Supplies,Unknown
3,MAQIHAN 350PCS Fall Maple Leaves - Autumn Fall Maple Leaf Garland hojas de otoño para decorar Foliage Artificial Table Decoration Faux Fake Loose Leaves Outdoor Decor Halloween Thanksgiving Photo Prop,5.99,4.4,3.0,Home & Kitchen,Home Décor Products,MAQIHAN
4,"DearHouse 2 Pack Fall Garland Maple Leaf Clearance, 5.9Ft/Piece Hanging Vine Garland Artificial Autumn Foliage Garland Thanksgiving Decor for Home Wedding Fireplace Party Christmas",12.99,4.4,7279.0,Home & Kitchen,Seasonal Décor,DearHouse
5,Give Thanks Banner Orange Paper Triangle Flag Bunting Maple Leaf Hanging Garland and Paper Fan Flower Swirl Streamers for Thanksgiving Theme Party Decoration,11.99,4.3,47.0,Home & Kitchen,Event & Party Supplies,Unknown
6,FANCY LAND 15PCS Thanksgiving Eyeglasses Turkey Eyewear Frame Thanksgiving Party Favors Photo Booth Props for Kids Adults Thanksgiving Decorations,6.99,5.0,3.0,Toys & Games,Party Supplies,Unknown
7,"QuanYaaJoy 2Pcs Thanksgiving Turkey Gnomes, Handmade Gnomes Fall Decor Indoor, Pumpkin Acorn Maple Leaf Black top hat Plush Autumn Thanksgiving Day Decorations for Home，gnome with Colorful Wings",9.99,4.5,50.0,Home & Kitchen,Home Décor Products,Unknown
8,"2 Pack Thanksgiving Decorations Maple Leaf Lights Garland Multicolored, 20Ft 40LED Battery Operated Fall Leaves Garland with Light String Wedding Autumn Harvest Table Porch Indoor Xmas Home Fall Decor",9.99,4.3,1250.0,Home & Kitchen,Seasonal Décor,Runleo
9,202Pcs Thanksgiving Disposable Tableware Set Orange Party Decorations Serve 24 Paper Plates Napkins Cups Maple Leaf Balloons Banners Plastic Tablecloths dinnerware for Fall Thanksgiving Party Supplies,26.99,4.6,65.0,Toys & Games,Party Supplies,Sawowkuya
10,Artificial Fall Lighted Maple Tree 24 LED Thanksgiving Decorations Table Lights Battery Operated for Wedding Party Gifts Indoor Outdoor Autumn Harvest Home Decor,12.99,4.6,1327.0,Home & Kitchen,Home Décor Products,S-Union
11,"Beistle Decorative Thanksgiving Playmates, 4-Inch-5-Inch, Multicolor, 4-Pack",5.94,4.1,1260.0,Toys & Games,Featured Categories,Unknown
12,"GIVE THANKS Hanging Banner Porch Sign Autumn Pumpkin Maple Leaf Backdrop Flag Fall Harvest Welcome Banner For Indoor Outdoor Wall Door Decoration Thanksgiving Party Decorations 72""x12""",6.98,4.6,1224.0,Home & Kitchen,Event & Party Supplies,FECEDY
