,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
0,Santa Fabric Christmas Figurine with Blue Gift Bag - Wondershop™,4.25,4.25,0.0,4.2,13,Christmas Decorations,Indoor Christmas Decorations,Wondershop
1,"6.75"" Featherly Friends Bird Dressed as Elf Fabric Christmas Figurine - Wondershop™ Brown/Red/Green",4.25,4.25,0.0,4.8,44,Christmas Decorations,Indoor Christmas Decorations,Wondershop
2,"Mr. Christmas 17"" Tabletop Super Climber Animated LED Musical Christmas Decoration",49.99,19.99,60.0,3.9,29,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
3,"Northlight 7"" LED Lighted Magnolia Leaf, Pinecone and Red Ball Ornaments Christmas Decorations",43.49,35.99,17.0,4.0,2,Christmas Decorations,Indoor Christmas Decorations,Northlight
4,Mr. Christmas Animated Mini Carnival Music Box Christmas Decoration,34.99,19.99,43.0,3.6,11,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
5,Mr. Christmas Nostalgic LED Retro Radio Musical Christmas Decoration,64.99,34.99,46.0,4.0,7,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
6,"Mr. Christmas 10.5"" Santa in Truck Animated Musical Christmas Decoration",54.99,24.99,55.0,4.3,15,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
7,"Northlight 6.25"" Winter Dressed Bird Tabletop Christmas Decoration",22.49,19.99,11.0,4.0,1,Christmas Decorations,Indoor Christmas Decorations,Northlight
8,Mr. Christmas Animated Motion Activated Sleeping Santa LED Christmas Decoration,79.99,34.99,56.0,5.0,1,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
9,"Mr. Christmas 10.5"" Snow Tunes Retro Radio Musical Christmas Decoration",44.99,24.99,44.0,4.4,20,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
10,Decorative Cape Nutcracker Christmas Figure Gold Glitter - Wondershop™,10.2,10.2,0.0,4.5,26,Home Decor,Decorative Objects,Wondershop
11,"Northlight 13.5"" Lighted Red Moose and Christmas Tree Wooden LED Battery Operated Decoration",43.49,35.99,17.0,1.0,1,Christmas Decorations,Indoor Christmas Decorations,Northlight
12,"Mr. Christmas Nutcracker Suite Animated Musical Christmas Decoration - 11""",289.99,169.99,41.0,5.0,4,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
13,Mr. Christmas Animated LED World's Fair Grand Ferris Wheel Christmas Decoration,219.99,129.99,41.0,4.0,7,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
