,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
0,"Premium Rolling Christmas Tree Storage Bag, 7.5'",$69.99,$24.99,64%,4.2,96,Christmas Inflatables & Outdoor Decor,Porch Decor,
1,"Inflatable Colossal Waving Santa, 20'",$69.99,$24.99,64%,3.2,23,Christmas Inflatables & Outdoor Decor,Porch Decor,
2,"& Elf Pets® Merry Christmas Table Decor, 6""",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,The Elf on the Shelf®
3,"Christmas Magic Card Holder Table Decor, 11x7",$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,The Elf on the Shelf®
4,150-Count Silver Ornament Hooks,$69.99,$24.99,64%,4.1,39,Christmas Inflatables & Outdoor Decor,Porch Decor,
5,"Providence Blue Welcome Wreath Wall Decor, 12""",$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,Providence Blue Collection
6,"Classic Christmas Red Merry Jolly Wooden Basket, Large",$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,Classic Christmas Collection
7,"Classic Christmas Merry Cutout Table Sign, 13""",$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,Classic Christmas Collection
8,"Found & Fable LED Silver & White Gift Stack Decor, 28""",$69.99,$24.99,64%,5,3,Christmas Inflatables & Outdoor Decor,Porch Decor,Found & Fable Collection
9,"Classic Christmas Red Merry Jolly Wooden Basket, Small",$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,Classic Christmas Collection
10,"Providence Blue Christmas Cheer Wooden Table Sign, 6""",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,Providence Blue Collection
11,"The Elf of the Shelf® Merry Christmas Table Decor, 10""",$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,The Elf on the Shelf®
12,150-Count Silver Ornament Hooks,$69.99,$24.99,64%,4.3,20,Christmas Inflatables & Outdoor Decor,Porch Decor,
13,"Classic Christmas Red Poinsettia Wall Decor, 15""",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,Classic Christmas Collection
14,"Classic Christmas Red Ceramic Gift Decor, 3""",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,Classic Christmas Collection
15,"Classic Christmas Poinsettia Topiary, 16""",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,Classic Christmas Collection
16,"Red & Green Finial Decor, 22""",$69.99,$24.99,64%,4.5,10,Christmas Inflatables & Outdoor Decor,Porch Decor,The Elf on the Shelf®
17,"Red Christmas Car with Tree Decor, 14x7.5",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,Honeybloom
18,"Elf Pets® Table Decor, 9x6.7",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,The Elf on the Shelf®
19,"Classic Christmas Plush Reindeer, 28""",$69.99,$24.99,64%,4.9,39,Christmas Inflatables & Outdoor Decor,Porch Decor,Classic Christmas Collection
20,"Classic Christmas Wooden Noel Cutout Table Decor Sign, 14""",$69.99,$24.99,64%,5,2,Christmas Inflatables & Outdoor Decor,Porch Decor,Classic Christmas Collection
21,"Red & Green Finial Decor, 16""",$69.99,$24.99,64%,5,5,Christmas Inflatables & Outdoor Decor,Porch Decor,The Elf on the Shelf®
22,"Scout Elf® Boy Table Decor, 7""",$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,The Elf on the Shelf®
23,Set of 2 Christmas Metal Baskets,$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,The Elf on the Shelf®
24,"Classic Christmas 2.5"" Poinsettia Ribbon, 10yd",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,Classic Christmas Collection
25,"Elf Pets® Saint Bernard ""Light up the Holidays""  Table Decor, 6x5.5",$69.99,$24.99,64%,5,2,Christmas Inflatables & Outdoor Decor,Porch Decor,The Elf on the Shelf®
26,"Nice List Scout Elf® with Blue Eyes Table Decor, 6.5""",$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,The Elf on the Shelf®
27,"Scout Elf® with Blue Eyes Table Decor, 7""",$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,The Elf on the Shelf®
28,"Directional Sign Table Decor, 18.5""",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,The Elf on the Shelf®
29,"Classic Christmas Red & Black Metal Train, 23""",$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,Classic Christmas Collection
30,"Classic Christmas Santa Figurine, 9.75""",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,Classic Christmas Collection
31,"Pre-Lit LED Red & Green Gift Boxes, 28""",$69.99,$24.99,64%,5,2,Christmas Inflatables & Outdoor Decor,Porch Decor,The Elf on the Shelf®
32,"Classic Christmas Sleeping Santa Figurine, 8.5""",$69.99,$24.99,64%,5,2,Christmas Inflatables & Outdoor Decor,Porch Decor,Classic Christmas Collection
33,"Rattan Star Decor, 10""",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,Ty Pennington
34,"Glittered Metal Crown Decor, 10.5""",$69.99,$24.99,64%,4.3,6,Christmas Inflatables & Outdoor Decor,Porch Decor,Providence Pink
35,"Classic Christmas Santa & Dog by Fireplace, 10""",$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,Classic Christmas Collection
36,"Scout Elf® Girl Table Decor, 7""",$69.99,$24.99,64%,5,1,Christmas Inflatables & Outdoor Decor,Porch Decor,The Elf on the Shelf®
37,"Champagne LED Gift Box Stack, 28""",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,Providence Pink
38,"Classic Christmas LED Christmas Tree, 17""",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,Classic Christmas Collection
39,"Classic Christmas LED Santa Head & Tree, 11""",$69.99,$24.99,64%,0,0,Christmas Inflatables & Outdoor Decor,Porch Decor,Classic Christmas Collection
40,9.5In Xmas Santa Hat Earmuffs,$69.99,$24.99,64%,5,6,Christmas Inflatables & Outdoor Decor,Porch Decor,
41,"Blue Gnome Decor, 26""",$69.99,$24.99,64%,3,2,Christmas Inflatables & Outdoor Decor,Porch Decor,Ty Pennington
42,Twerking Christmas Snowman,$69.99,$24.99,64%,5,7,Christmas Inflatables & Outdoor Decor,Porch Decor,
