,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
0,Merry Christmas Cardinals Decor,$20.99,$10.49,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Cardinals Decor,
1,Merry Christmas Decor,$6.99,$3.49,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Decor,
2,We Wish You A Merry Christmas Wood Decor,$9.99,$4.99,50%,No reviews yet,0,Tabletop Decor,We Wish You A Merry Christmas Wood Decor,
3,Merry Christmas Pine & Berry Arrangement,$29.99,$14.99,50%,5.0,1,Tabletop Decor,Merry Christmas Pine & Berry Arrangement,Barb's Tree Farm
4,Merry Christmas Wood Wall Decor,$7.49,$3.74,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Wood Wall Decor,
5,Turntable Christmas Countdown Wood Decor,$14.99,$7.49,50%,No reviews yet,0,Advent & Countdown Calendars,Turntable Christmas Countdown Wood Decor,
6,Christmas Present Wood Decor,$1.99,$0.99,50%,No reviews yet,0,Craft Supplies,Christmas Present Wood Decor,Brother Sister Design Studio
7,Suction Cup Christmas Wreath Hanger,$3.99,$1.99,50%,3.0,2,Wreath Hangers,Suction Cup Christmas Wreath Hanger,Dyno Seasonal Solutions
8,Mini Merry Christmas Decor,$5.49,$2.74,50%,No reviews yet,0,Tabletop Decor,Mini Merry Christmas Decor,
9,Merry Christmas Wood Wall Decor,$8.99,$4.49,50%,No reviews yet,0,Wall Decor,Merry Christmas Wood Wall Decor,
10,Merry Christmas Decor,$10.99,$5.49,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Decor,
11,Red & White Striped Cone Tree,$5.99,$2.99,50%,No reviews yet,0,Decorative Trees,Red & White Striped Cone Tree,
12,Merry Christmas Decorative Wood Ladder,$3.99,$1.99,50%,No reviews yet,0,Mini Accessories,Merry Christmas Decorative Wood Ladder,My Little Christmas
13,Glitter Mesh Bow,$5.99,$2.99,50%,No reviews yet,0,Bows,Glitter Mesh Bow,
14,Buffalo Check Wired Edge Ribbon,$7.99,$3.99,50%,No reviews yet,0,Ribbon,Buffalo Check Wired Edge Ribbon,
15,White Blank Ball Ornaments,$9.99,$4.99,50%,No reviews yet,0,Craft Ornaments,White Blank Ball Ornaments,Brother Sister Design Studio
16,Taper Candles,$7.99,$3.99,50%,1.0,1,Candles,Taper Candles,
17,"Metallic Mesh Wired Edge Ribbon - 10""",$10.99,$5.49,50%,No reviews yet,0,Deco Mesh,"Metallic Mesh Wired Edge Ribbon - 10""",Robert Stanley
18,LED Rice Lights with Timer,$8.99,Not on Sale,0,2.7,3,Glass Accessories,LED Rice Lights with Timer,
19,Red & White Striped Cone Tree,$5.99,$2.99,50%,No reviews yet,0,Decorative Trees,Red & White Striped Cone Tree,
20,"Natural Snowdrift Striped Deco Mesh Ribbon - 10""",$9.99,$4.99,50%,No reviews yet,0,Deco Mesh,"Natural Snowdrift Striped Deco Mesh Ribbon - 10""",
21,"Tinsel Lattice Ribbon - 4""",$12.99,$6.49,50%,No reviews yet,0,Ribbon,"Tinsel Lattice Ribbon - 4""",Robert Stanley
22,Red Mercury Glass Candle Holder,$31.99,$15.99,50%,5.0,2,Candle Holders,Red Mercury Glass Candle Holder,
23,Green Advent Wreath Metal Form,$4.99,$2.49,50%,5.0,2,Candle Rings,Green Advent Wreath Metal Form,
24,Vintage Santa & Reindeer Christmas Countdown Decor,$12.99,$6.49,50%,4.0,3,Advent & Countdown Calendars,Vintage Santa & Reindeer Christmas Countdown Decor,
25,Merry Little Christmas Wood Decor,$5.49,$2.74,50%,No reviews yet,0,Tabletop Decor,Merry Little Christmas Wood Decor,
26,Red Merry Christmas Wood Decor,$2.99,$1.49,50%,No reviews yet,0,Tabletop Decor,Red Merry Christmas Wood Decor,
27,Merry Christmas Wood Decor,$22.99,$11.49,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Wood Decor,
28,Merry Christmas Wood Decor,$4.49,$2.24,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Wood Decor,
29,Merry Christmas Wood Decor,$9.99,$4.99,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Wood Decor,
30,Merry Christmas Wood Wall Decor,$15.99,$7.99,50%,No reviews yet,0,Wall Decor,Merry Christmas Wood Wall Decor,
31,White & Natural Christmas Countdown Wood Decor,$23.99,$11.99,50%,No reviews yet,0,Advent & Countdown Calendars,White & Natural Christmas Countdown Wood Decor,
32,Merry Christmas Glitter Wood Decor,$11.99,$5.99,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Glitter Wood Decor,
33,Days Until Christmas Nativity Wood Decor,$22.99,$11.49,50%,4.0,1,Advent & Countdown Calendars,Days Until Christmas Nativity Wood Decor,
34,Red Merry Christmas Block Wood Decor,$24.99,$12.49,50%,No reviews yet,0,Tabletop Decor,Red Merry Christmas Block Wood Decor,
35,Christmas Metal Wall Decor,$14.99,$7.49,50%,No reviews yet,0,Wall Decor,Christmas Metal Wall Decor,
36,Merry Christmas Wreath Wood Decor,$2.99,$1.49,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Wreath Wood Decor,
37,Red Merry Christmas Train Wood Decor,$8.49,$4.24,50%,No reviews yet,0,Tabletop Decor,Red Merry Christmas Train Wood Decor,
38,Red Christmas Bells Wall Decor,$17.99,$8.99,50%,5.0,1,Wall Decor,Red Christmas Bells Wall Decor,
39,Patterned Christmas Presents Wood Decor,$4.49,$2.24,50%,No reviews yet,0,Tabletop Decor,Patterned Christmas Presents Wood Decor,
40,Christmas Gift Metal Decor,$23.99,$11.99,50%,5.0,1,Tabletop Decor,Christmas Gift Metal Decor,
41,Merry Christmas Wood Truck Decor,$4.99,$2.49,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Wood Truck Decor,
42,White Yarn Christmas Tree Wood Decor,$13.99,$6.99,50%,No reviews yet,0,Tabletop Decor,White Yarn Christmas Tree Wood Decor,
43,Pretty Face & Christmas Card Wall Decor,$8.99,$4.49,50%,No reviews yet,0,Wall Decor,Pretty Face & Christmas Card Wall Decor,Open Road Brands
44,Merry Christmas Snoopy Wall Decor,$6.99,$3.49,50%,No reviews yet,0,Wall Decor,Merry Christmas Snoopy Wall Decor,Open Road Brands
45,Merry Christmas Wood Wall Decor,$35.99,$17.99,50%,No reviews yet,0,Wall Decor,Merry Christmas Wood Wall Decor,
46,Merry Christmas Basket Wall Decor,$14.99,$7.49,50%,No reviews yet,0,Wall Decor,Merry Christmas Basket Wall Decor,
47,Merry Little Christmas Wood Wall Decor,$59.99,$29.99,50%,No reviews yet,0,Wall Decor,Merry Little Christmas Wood Wall Decor,
48,Red Merry Christmas Wood Decor,$2.99,$1.49,50%,No reviews yet,0,Tabletop Decor,Red Merry Christmas Wood Decor,
49,Merry Christmas Wood Decor,$22.99,$11.49,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Wood Decor,
50,Merry Christmas Wood Decor,$4.49,$2.24,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Wood Decor,
51,Christmas Party Decor Package,$2.99,$1.49,50%,No reviews yet,0,Bows,Christmas Party Decor Package,Brother Sister Design Studio
52,Merry Christmas Wood Decor,$9.99,$4.99,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Wood Decor,
53,Frosted Poinsettia Stem,$10.99,$5.49,50%,No reviews yet,0,Floral Stems,Frosted Poinsettia Stem,
54,White Gnome Holding Present,$4.49,$2.24,50%,5.0,1,Craft Supplies,White Gnome Holding Present,Brother Sister Design Studio
55,Red Hot Cinnamon Pillar Candle,$9.99,$4.99,50%,5.0,1,Candles,Red Hot Cinnamon Pillar Candle,DD
56,"Christmas Trees Scrapbook Paper - 12"" x 12""",$0.69,$0.41,40%,No reviews yet,0,Printed Paper Single Sheets,"Christmas Trees Scrapbook Paper - 12"" x 12""",the Paper Studio
57,Merry Christmas Wood Wall Decor,$15.99,$7.99,50%,No reviews yet,0,Wall Decor,Merry Christmas Wood Wall Decor,
58,White & Natural Christmas Countdown Wood Decor,$23.99,$11.99,50%,No reviews yet,0,Advent & Countdown Calendars,White & Natural Christmas Countdown Wood Decor,
59,Merry Christmas Glitter Wood Decor,$11.99,$5.99,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Glitter Wood Decor,
60,Days Until Christmas Nativity Wood Decor,$22.99,$11.49,50%,4.0,1,Advent & Countdown Calendars,Days Until Christmas Nativity Wood Decor,
61,Red Merry Christmas Block Wood Decor,$24.99,$12.49,50%,No reviews yet,0,Tabletop Decor,Red Merry Christmas Block Wood Decor,
62,Christmas Metal Wall Decor,$14.99,$7.49,50%,No reviews yet,0,Wall Decor,Christmas Metal Wall Decor,
63,Merry Christmas Wreath Wood Decor,$2.99,$1.49,50%,No reviews yet,0,Tabletop Decor,Merry Christmas Wreath Wood Decor,
64,Red Merry Christmas Train Wood Decor,$8.49,$4.24,50%,No reviews yet,0,Tabletop Decor,Red Merry Christmas Train Wood Decor,
65,Red Christmas Bells Wall Decor,$17.99,$8.99,50%,5.0,1,Wall Decor,Red Christmas Bells Wall Decor,
66,Patterned Christmas Presents Wood Decor,$4.49,$2.24,50%,No reviews yet,0,Tabletop Decor,Patterned Christmas Presents Wood Decor,
