,Name,Actual Price,Sale Price,Discount %,Rating,Number of Reviews,Category,Sub-Category,Brand
0,Santa Fabric Christmas Figurine with Blue Gift Bag - Wondershop™,$5.00,Not on Sale,0%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Wondershop
1,Shatter-Resistant Textured Plastic Christmas Tree Ornament Set 20pc - Wondershop™,$5.00,Not on Sale,0%,4.6,9,Christmas,Christmas Ornaments,Wondershop
2,6pc Sisal Christmas Bottle Brush Tree Set - Wondershop™,$10.00,Not on Sale,0%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Wondershop
3,Medium Ornament Bottle Brush Christmas Tree - Threshold™,$10.00,Not on Sale,0%,4.6,9,Home Decor,Decorative Objects,Threshold
4,Shaped Christmas Tree Novelty Throw Pillow - Wondershop™,$10.00,Not on Sale,0%,4.6,9,Home,Bedding,Wondershop
5,Mini Pine Christmas Wreath Green - Threshold™,$10.00,Not on Sale,0%,4.6,9,Christmas Decorations,Artificial Christmas Greenery,Threshold
6,"6.75"" Featherly Friends Bird Dressed as Elf Fabric Christmas Figurine - Wondershop™ Brown/Red/Green",$5.00,Not on Sale,0%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Wondershop
7,36in Animated Train and Track Set Christmas Decor - Wondershop™,$35.00,Not on Sale,0%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Wondershop
8,"24"" Unlit Tinsel Mini Artificial Christmas Tree White - Wondershop™",$10.00,Not on Sale,0%,4.6,9,Christmas Decorations,Artificial Christmas Greenery,Wondershop
9,8ct Glittered Pinecone Christmas Tree Ornament Set - Wondershop™,$3.00,Not on Sale,0%,4.6,9,Christmas,Christmas Ornaments,Wondershop
10,Lit Ceramic Retro Christmas Tree Ornament - Wondershop™,$5.00,Not on Sale,0%,4.6,9,Christmas,Christmas Ornaments,Wondershop
11,Mr. Christmas Nostalgic LED Retro Radio Musical Christmas Decoration,$65.99,$44.99,32%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
12,2ct Retro Small Deer Christmas Tree Ornament Set - Wondershop™,$3.00,Not on Sale,0%,4.6,9,Christmas,Christmas Ornaments,Wondershop
13,"Northlight 6.25"" Winter Dressed Bird Tabletop Christmas Decoration",$22.49,$19.99,11%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
14,Mr. Christmas Animated Motion Activated Sleeping Santa LED Christmas Decoration,$79.99,$44.99,44%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
15,"Mr. Christmas 10.5"" Snow Tunes Retro Radio Musical Christmas Decoration",$44.99,$24.99,44%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
16,Flying Christmas Santa Snow Globe - Wondershop™,$12.00,Not on Sale,0%,4.6,9,Home Decor,Decorative Objects,Wondershop
17,"Northlight 13.5"" Lighted Red Moose and Christmas Tree Wooden LED Battery Operated Decoration",$43.49,$35.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
18,"Mr. Christmas Nutcracker Suite Animated Musical Christmas Decoration - 11""",$289.99,$199.99,31%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
19,"Mr. Christmas 10.5"" Santa in Truck Animated Musical Christmas Decoration",$54.99,$29.99,45%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
20,Mr. Christmas Animated Mini Carnival Music Box Christmas Decoration,$38.99,$19.99,49%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
21,Mr. Christmas Animated Magical Maestro Mouse Musical Christmas Decoration,$99.99,$69.99,30%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
22,"Northlight Wooden Gnomes Tabletop Christmas Decoration - 10.75""",$27.54,$22.79,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
23,"Northlight 7"" LED Lighted Magnolia Leaf, Pinecone and Red Ball Ornaments Christmas Decorations",$43.49,$35.99,17%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Northlight
24,"Mr. Christmas Three Car Animated Musical Train Christmas Decoration - 20"" long",$109.99,$79.99,27%,4.6,9,Christmas Decorations,Indoor Christmas Decorations,Mr. Christmas
